sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,07,10,1,1,1,0,0,100,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,07,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,07,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,08,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,08,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,08,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,08,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,03,2,2,2,0,0,100,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,09,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,10,01,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,10,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,10,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,10,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,10,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,10,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,10,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,10,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,10,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,11,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,11,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,11,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,11,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,11,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,11,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,11,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,11,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,12,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,12,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,12,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,12,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,04,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44006,GABINETE DO JUIZ DE DIREITO 2,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,01,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,01,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,01,03,1,1,1,0,0,100,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,01,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,02,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,02,03,1,1,1,0,0,100,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,02,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,02,,5,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,03,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,03,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,03,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,03,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,03,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,03,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,04,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,04,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,05,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,05,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,06,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,06,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,06,04,1,1,1,0,0,100,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,06,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,06,06,5,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,06,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,06,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,06,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,07,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,07,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,07,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,07,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,07,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,07,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,07,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,07,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,07,,2,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,08,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,08,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,08,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,08,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,08,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,01,1,1,1,0,0,100,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,02,1,1,1,0,0,100,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,09,,4,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,10,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,10,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,10,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,11,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,11,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,11,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,11,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,11,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,11,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,11,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,11,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,11,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,11,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,11,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,12,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,12,02,0,3,3,0,0,Inf,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,12,03,0,4,4,0,0,Inf,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,12,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,12,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,12,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,12,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,12,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,01,0,1,0,0,0,Inf,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,02,0,1,0,0,0,Inf,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,03,0,3,0,0,0,Inf,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44007,GABINETE DO JURISTA 1,,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-AP,Conhecimento não criminal,Justiça Eleitoral,G2,AP,MACAPA,44008,GABINETE DO JURISTA 2,01,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
