sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,08,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,08,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,09,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,09,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,10,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,10,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,10,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,10,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,11,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,11,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,11,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,11,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,11,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,11,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,12,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,12,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,12,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,12,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,12,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,12,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,12,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,12,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITABUNA,16663,27º CARTÓRIO ELEITORAL,12,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,01,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,01,02,1,1,1,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,02,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,02,03,6,6,6,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,02,04,1,1,1,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,03,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,03,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,03,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,03,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,03,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,04,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,04,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,04,,2,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,05,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,05,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,05,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,06,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,06,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,06,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,06,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,07,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,07,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,07,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,07,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,07,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,07,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,07,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,07,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,08,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,08,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,08,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,08,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,08,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,09,01,9,9,9,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,09,02,6,6,6,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,09,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,09,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,10,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,11,01,18,18,18,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,11,02,7,7,7,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,11,03,2,2,2,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,11,04,1,1,1,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,11,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,11,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,11,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,06,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAGIBA,16852,147º CARTÓRIO ELEITORAL,12,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,01,01,5,5,5,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,02,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,02,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,02,,1,0,0,0,0,0,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,03,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,03,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,03,,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,04,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,04,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,04,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,04,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,05,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,06,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,06,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,06,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,06,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,06,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,06,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,06,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,06,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,06,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,06,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,07,02,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,07,03,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,07,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,07,07,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,07,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,07,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,07,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,07,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,07,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,08,01,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,08,04,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,08,05,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,08,08,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,08,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,09,02,18,18,18,0,0,100,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,09,04,15,15,15,0,2,88.2352941176471,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,09,09,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,09,10,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,09,11,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,09,12,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-BA,Conhecimento não criminal,Justiça Eleitoral,G1,BA,ITAJUIPE,16848,136º CARTÓRIO ELEITORAL,09,,41,0,0,0,0,0,,,,,,,,,,,,,,,,
